estu_genero,estu_depto_reside,fami_estratovivienda,punt_lectura_critica,punt_matematicas,punt_c_naturales,punt_sociales_ciudadanas,punt_ingles,punt_global
M,VALLE,Estrato 6,68,56,66,66,83,327
F,BOGOTA,Estrato 5,81,77,76,80,91,397
M,VALLE,Estrato 5,67,65,59,76,81,339
F,VALLE,Estrato 3,45,51,50,47,50,242
F,NARIÑO,Estrato 3,59,60,73,65,81,328
F,VALLE,Estrato 5,58,60,45,50,72,273
M,VALLE,Estrato 4,44,53,54,51,58,255
F,BOGOTA,Estrato 4,64,55,60,62,69,305
F,VALLE,Estrato 2,45,27,33,44,40,187
M,VALLE,Estrato 3,57,45,51,52,55,258
F,BOGOTA,Estrato 5,62,68,66,68,78,335
F,VALLE,Estrato 3,55,48,54,46,33,247
M,VALLE,Estrato 3,53,61,51,60,48,278
M,CAUCA,Estrato 5,58,71,66,58,84,324
F,BOGOTA,Estrato 4,73,77,70,65,83,361
M,ANTIOQUIA,Estrato 6,63,69,72,68,93,350
M,CUNDINAMARCA,Estrato 3,66,56,62,65,70,314
F,VALLE,Estrato 5,55,44,46,54,66,255
F,BOGOTA,Estrato 4,73,75,66,81,90,375
F,QUINDIO,Estrato 5,76,87,75,81,91,403
M,BOGOTA,Estrato 5,66,66,67,67,98,345
M,VALLE,Estrato 2,48,48,52,55,29,245
F,CAUCA,Estrato 3,60,58,63,55,63,297
M,VALLE,Estrato 4,44,44,52,47,56,237
M,VALLE,Estrato 4,67,51,52,58,77,293
F,MAGDALENA,Estrato 5,67,56,61,61,83,315
F,CAUCA,Estrato 2,54,49,52,57,39,260
F,ANTIOQUIA,Estrato 6,72,79,69,80,85,379
M,CAUCA,Estrato 4,66,57,64,65,69,317
F,VALLE,Estrato 3,67,77,74,75,76,367
M,VALLE,Estrato 3,74,75,79,83,69,385
F,ATLANTICO,Estrato 6,64,59,61,63,79,315
M,VALLE,Estrato 3,39,31,40,35,20,175
F,CAUCA,Estrato 2,56,39,42,44,55,230
F,VALLE,Estrato 5,69,75,68,64,66,344
M,BOGOTA,Estrato 5,63,67,60,59,79,318
M,CAUCA,Estrato 4,63,67,65,51,75,313
F,VALLE,Estrato 6,70,67,67,67,79,343
M,VALLE,Estrato 6,75,75,80,76,81,384
M,VALLE,Estrato 4,57,62,64,66,70,314
M,CAUCA,Estrato 4,63,60,70,61,63,317
F,VALLE,Estrato 4,61,58,58,59,65,297
M,VALLE,Estrato 4,61,70,66,57,69,320
F,VALLE,Estrato 2,65,58,59,66,68,312
F,VALLE,Estrato 3,51,56,52,47,39,253
F,VALLE,Estrato 3,56,57,50,56,68,279
F,BOGOTA,Estrato 4,74,86,79,78,91,401
F,VALLE,Estrato 5,60,56,55,55,62,285
M,BOGOTA,Estrato 4,65,61,51,58,87,305
F,VALLE,Estrato 3,54,43,47,53,45,245
F,VALLE,Estrato 3,40,43,46,46,54,223
F,VALLE,Estrato 4,63,65,63,74,83,338
F,VALLE,Estrato 4,60,61,60,54,48,290
M,VALLE,Estrato 3,55,48,54,61,54,272
F,BOGOTA,Estrato 4,72,80,75,70,87,376
F,ANTIOQUIA,Estrato 6,70,77,80,67,78,369
M,VALLE,Estrato 2,45,42,47,46,51,227
F,ATLANTICO,Estrato 5,70,75,72,69,89,364
F,CAUCA,Estrato 3,53,59,65,60,53,294
M,BOGOTA,Estrato 6,75,70,72,70,81,362
M,BOGOTA,Estrato 4,57,59,70,73,79,329
M,BOGOTA,Estrato 4,71,73,76,71,93,372
F,VALLE,Estrato 6,84,75,76,80,86,397
F,ATLANTICO,-,70,62,69,67,83,341
F,VALLE,-,54,44,47,47,34,235
M,BOGOTA,Estrato 4,73,82,74,68,76,372
F,BOGOTA,Estrato 4,79,69,70,75,87,372
F,BOGOTA,Estrato 4,62,63,64,58,54,306
M,ATLANTICO,Estrato 4,71,73,76,69,71,361
M,CAUCA,Estrato 5,70,65,72,75,79,356
F,BOGOTA,Estrato 5,74,84,100,79,85,422
F,RISARALDA,Estrato 6,58,60,65,60,77,310
F,VALLE,Estrato 3,64,68,70,65,72,336
M,BOGOTA,Estrato 6,74,84,72,70,98,384
F,CAUCA,Estrato 5,74,81,72,76,69,376
M,ATLANTICO,Estrato 5,74,70,68,67,87,355
F,VALLE,Estrato 4,64,64,59,59,53,304
F,VALLE,Sin Estrato,53,46,53,50,74,262
F,CUNDINAMARCA,Estrato 4,63,66,67,65,73,329
F,VALLE,Estrato 4,64,52,55,60,55,288
M,BOGOTA,Estrato 4,65,59,67,65,75,324
M,VALLE,Estrato 5,68,65,64,64,68,327
M,VALLE,Estrato 6,53,26,55,62,51,246
F,BOGOTA,Estrato 6,66,55,65,61,75,314
M,BOGOTA,Estrato 6,66,67,74,79,90,365
F,CAUCA,Estrato 3,52,51,55,48,35,251
M,ANTIOQUIA,Estrato 6,69,75,69,69,91,360
M,VALLE,Estrato 3,44,47,46,45,45,227
F,VALLE,Estrato 4,66,69,75,60,70,338
M,VALLE,Estrato 4,56,56,54,53,55,274
M,VALLE,Estrato 5,50,45,46,45,23,223
F,VALLE,Estrato 2,42,50,49,42,37,225
M,VALLE,Estrato 5,66,72,71,71,56,345
F,VALLE,Estrato 6,80,78,81,78,93,402
F,VALLE,Estrato 3,46,47,53,55,46,250
F,VALLE,Estrato 4,68,55,67,64,73,321
M,ATLANTICO,Estrato 5,60,68,69,62,75,328
F,ATLANTICO,Estrato 5,66,72,74,74,81,361
F,BOGOTA,Estrato 6,67,59,64,73,100,342
F,BOGOTA,Estrato 3,77,71,55,75,81,352
M,VALLE,Estrato 5,70,78,71,56,63,342
M,ATLANTICO,Estrato 5,63,69,72,68,77,343
M,CALDAS,Estrato 6,63,67,75,67,74,342
M,CUNDINAMARCA,Estrato 4,58,70,72,63,79,334
M,BOGOTA,Estrato 6,59,69,67,72,84,340
F,BOGOTA,Estrato 5,71,70,69,74,100,366
M,VALLE,Estrato 5,73,75,66,86,64,371
M,BOGOTA,Estrato 6,100,64,66,79,85,389
M,VALLE,Estrato 4,78,67,72,66,70,353
M,VALLE,Estrato 3,50,43,51,52,50,245
F,CUNDINAMARCA,Estrato 6,62,68,61,64,80,325
M,ATLANTICO,Estrato 5,70,63,68,68,100,349
M,NARIÑO,Estrato 3,56,61,59,59,62,295
M,VALLE,Estrato 2,60,47,56,61,62,282
M,VALLE,Estrato 4,56,54,58,52,64,278
M,BOGOTA,Estrato 5,72,78,82,73,86,385
F,BOGOTA,Estrato 5,51,64,60,53,74,292
F,BOGOTA,Estrato 6,69,71,72,69,98,362
M,VALLE,Estrato 3,65,57,62,63,40,300
F,VALLE,Estrato 4,67,65,64,62,62,322
M,VALLE,Estrato 3,70,62,78,74,76,357
F,BOGOTA,Estrato 5,71,75,74,81,100,386
M,VALLE,Estrato 3,58,53,45,45,44,249
F,VALLE,Estrato 5,56,55,56,54,64,280
M,VALLE,Estrato 3,59,55,56,62,49,287
F,VALLE,Estrato 6,74,74,76,75,96,382
M,VALLE,Estrato 2,57,49,56,55,49,269
F,QUINDIO,Estrato 6,72,82,68,86,84,388
F,ATLANTICO,Estrato 6,70,70,70,71,90,359
M,VALLE,Estrato 2,60,47,55,65,58,284
F,BOGOTA,Estrato 6,57,58,66,65,84,316
M,CAUCA,Estrato 1,51,53,56,50,46,260
M,BOGOTA,Estrato 5,67,66,73,76,100,364
F,VALLE,Estrato 5,73,67,73,75,83,364
F,ATLANTICO,Estrato 6,69,68,64,53,93,329
F,CUNDINAMARCA,Estrato 3,61,73,66,51,78,320
F,CUNDINAMARCA,Estrato 1,67,61,58,63,69,314
M,CUNDINAMARCA,Estrato 6,78,68,64,66,79,349
F,VALLE,Estrato 2,58,56,58,52,78,288
F,CAUCA,-,70,62,62,64,77,327
M,VALLE,Estrato 3,37,46,41,27,30,186
F,BOGOTA,Estrato 6,75,79,78,77,90,391
F,VALLE,Estrato 2,49,38,39,40,46,209
F,BOGOTA,Estrato 5,77,73,74,82,100,392
M,VALLE,-,52,46,44,44,42,231
M,VALLE,Estrato 3,53,64,58,47,48,275
M,VALLE,Estrato 2,47,37,37,40,47,204
M,BOGOTA,Estrato 4,58,66,69,64,78,327
M,VALLE,Estrato 5,61,57,63,62,63,305
M,BOGOTA,Estrato 5,80,78,75,75,89,390
F,BOGOTA,Estrato 4,68,77,70,68,85,359
M,NARIÑO,Estrato 5,71,80,79,81,76,388
F,NARIÑO,Estrato 3,81,78,79,75,75,390
M,VALLE,Estrato 6,74,77,79,74,85,383
F,BOGOTA,Estrato 5,64,65,64,62,71,322
M,VALLE,Estrato 3,52,35,37,43,44,210
M,NARIÑO,Estrato 4,57,64,63,63,65,310
M,VALLE,Estrato 2,65,66,73,66,74,340
M,VALLE,Estrato 4,43,41,41,38,40,203
F,VALLE,Estrato 2,55,51,52,45,58,257
F,VALLE,Estrato 5,77,78,77,80,82,392
F,VALLE,Estrato 3,72,56,73,66,69,335
F,VALLE,Estrato 5,70,59,66,63,75,327
F,VALLE,Estrato 4,51,49,53,51,57,257
M,VALLE,Estrato 2,53,60,55,45,39,261
F,BOGOTA,Estrato 5,76,82,80,69,89,388
M,VALLE,Estrato 3,58,47,56,54,52,268
M,BOGOTA,Estrato 4,61,65,64,63,76,321
F,ANTIOQUIA,-,73,69,71,79,78,367
F,VALLE,Estrato 5,65,63,63,69,73,328
F,VALLE,Estrato 6,64,63,64,67,68,324
F,BOGOTA,Estrato 6,75,84,73,100,90,418
F,VALLE,Estrato 3,52,54,53,49,63,264
M,VALLE,Estrato 5,69,66,66,58,73,327
F,VALLE,-,58,57,58,56,62,288
M,BOGOTA,Estrato 5,65,76,75,59,99,355
F,ATLANTICO,Estrato 5,66,65,72,66,90,345
M,CAUCA,Estrato 2,57,55,65,60,58,296
M,BOGOTA,Estrato 5,64,62,65,80,75,342
F,VALLE,Estrato 5,52,48,53,56,52,261
M,VALLE,Estrato 3,56,54,58,56,69,285
M,BOGOTA,Estrato 6,80,69,68,79,97,379
F,VALLE,Estrato 4,53,61,65,69,71,313
M,BOGOTA,Estrato 6,68,74,72,79,81,369
F,VALLE,Estrato 3,64,59,63,57,61,304
F,SANTANDER,Estrato 6,66,67,66,63,84,335
F,BOGOTA,Estrato 4,63,50,58,58,83,296
M,ATLANTICO,Estrato 5,67,65,61,61,78,323
F,BOGOTA,Estrato 6,74,68,67,65,87,350
M,VALLE,Estrato 3,52,68,62,55,73,302
M,NARIÑO,Estrato 3,71,88,76,78,74,390
F,BOGOTA,Estrato 6,69,65,65,68,81,339
F,MAGDALENA,Estrato 5,58,55,53,50,71,277
F,VALLE,Estrato 5,44,45,32,42,57,210
F,BOGOTA,Estrato 5,68,63,68,67,88,341
F,VALLE,Estrato 1,59,55,58,56,58,285
M,BOGOTA,Estrato 2,59,72,65,63,62,323
M,VALLE,Estrato 3,47,42,51,36,46,221
F,VALLE,Estrato 5,65,60,64,77,69,333
F,VALLE,Estrato 3,71,65,66,65,81,339
F,BOGOTA,Estrato 4,67,72,69,72,85,356
M,VALLE,Estrato 3,56,55,52,59,52,276
M,BOGOTA,Estrato 6,71,76,100,78,100,413
M,VALLE,Estrato 3,52,56,52,56,46,267
F,BOGOTA,Estrato 5,62,67,59,68,81,327
M,VALLE,Estrato 3,56,67,70,56,57,309
F,BOGOTA,Estrato 5,75,72,74,70,85,368
M,VALLE,Estrato 3,47,50,52,39,43,233
M,VALLE,Estrato 3,54,39,32,41,66,217
F,VALLE,Estrato 4,60,59,59,58,58,295
M,RISARALDA,Estrato 5,60,63,66,51,72,305
F,VALLE,Estrato 6,73,78,76,69,84,374
F,VALLE,Estrato 3,72,59,66,69,67,333
F,VALLE,Estrato 3,60,57,60,58,58,293
F,NARIÑO,Estrato 2,67,70,66,62,52,326
M,VALLE,Estrato 1,55,63,58,52,44,280
M,VALLE,Estrato 3,54,50,52,45,47,250
F,BOGOTA,Estrato 3,75,80,100,74,89,414
F,VALLE,Estrato 3,62,55,59,62,70,302
M,VALLE,Estrato 2,46,44,37,55,38,225
F,VALLE,Estrato 2,40,53,54,45,51,241
M,VALLE,Estrato 3,49,49,51,50,38,244
F,CUNDINAMARCA,Estrato 5,56,46,53,52,74,267
F,VALLE,Estrato 4,68,74,77,78,78,373
M,BOGOTA,Estrato 4,77,71,72,77,93,378
F,VALLE,Estrato 2,55,52,51,56,48,265
M,BOGOTA,Estrato 5,60,56,66,70,76,320
F,VALLE,Estrato 3,65,57,62,59,72,308
M,VALLE,Estrato 4,63,56,63,59,74,307
F,BOGOTA,Estrato 5,57,64,66,58,67,308
F,VALLE,Estrato 5,63,61,53,64,79,308
M,VALLE,Estrato 3,68,71,71,65,70,344
F,RISARALDA,Estrato 3,75,60,62,74,69,339
F,BOGOTA,-,67,60,61,65,80,323
F,VALLE,Estrato 3,61,65,66,71,63,328
M,BOGOTA,Estrato 2,65,68,65,74,61,337
F,BOGOTA,Estrato 5,57,53,59,53,75,285
M,VALLE,Estrato 4,55,60,61,58,64,295
M,VALLE,Estrato 3,70,72,62,65,72,338
M,CAUCA,Estrato 2,54,56,55,48,49,265
M,VALLE,Estrato 4,70,77,80,74,80,378
M,VALLE,Estrato 4,74,70,81,73,79,374
F,VALLE,Estrato 3,62,67,75,57,62,325
M,CAUCA,Estrato 2,60,75,72,55,57,324
F,BOLIVAR,Estrato 5,70,89,75,86,88,403
M,BOGOTA,Estrato 6,67,79,76,82,85,383
M,VALLE,Estrato 6,62,74,72,68,85,351
F,BOGOTA,Estrato 6,69,74,71,72,100,368
M,BOGOTA,Estrato 6,67,68,68,69,94,350
M,VALLE,Estrato 4,46,35,43,39,19,195
F,BOGOTA,Estrato 6,66,71,71,75,100,365
M,ANTIOQUIA,Estrato 5,68,76,74,68,92,365
M,ATLANTICO,Estrato 6,68,68,65,68,77,340
F,MAGDALENA,Estrato 6,54,50,54,51,75,270
F,VALLE,Estrato 3,58,39,49,47,29,234
M,VALLE,Estrato 3,74,74,74,77,76,374
F,VALLE,Estrato 3,62,62,60,60,64,306
M,BOGOTA,Estrato 4,55,62,64,61,69,306
F,ATLANTICO,Estrato 6,75,76,72,70,100,377
F,VALLE,Estrato 3,53,47,52,54,45,255
M,VALLE,Estrato 4,61,62,58,54,67,297
F,ATLANTICO,Estrato 6,72,66,59,64,87,335
F,CAUCA,Estrato 4,64,72,70,67,69,342
M,VALLE,Estrato 3,63,65,79,72,71,349
M,BOGOTA,Estrato 5,59,74,66,71,89,346
M,VALLE,Estrato 3,61,62,60,67,62,312
M,BOGOTA,Estrato 6,67,69,68,63,76,337
F,BOGOTA,Estrato 4,71,67,72,74,88,362
M,VALLE,Estrato 5,57,51,54,50,71,272
M,MAGDALENA,Estrato 6,56,53,56,69,71,297
F,BOGOTA,Estrato 5,72,100,83,74,86,413
M,VALLE,Estrato 3,67,54,54,61,62,296
F,VALLE,Estrato 2,59,74,68,57,55,319
M,VALLE,Estrato 3,60,62,50,60,61,291
F,BOGOTA,Estrato 6,79,77,72,65,100,377
F,VALLE,Estrato 6,62,38,57,49,67,263
F,VALLE,Estrato 4,62,67,72,61,74,331
F,VALLE,Estrato 4,56,56,56,49,56,272
F,BOGOTA,Estrato 6,70,67,68,64,79,341
M,VALLE,Estrato 5,59,68,63,59,52,307
F,VALLE,Estrato 6,71,77,73,71,91,372
F,LA GUAJIRA,Estrato 4,66,54,55,59,72,298
F,VALLE,Estrato 4,48,35,35,36,52,198
M,ATLANTICO,Estrato 5,62,68,65,63,72,325
M,VALLE,Estrato 5,70,64,68,76,95,357
F,VALLE,Estrato 5,60,36,41,56,64,247
F,VALLE,Estrato 2,60,58,62,59,60,299
F,VALLE,Estrato 4,75,55,59,79,77,339
F,VALLE,Estrato 5,70,58,69,68,86,339
M,QUINDIO,Estrato 3,61,77,69,66,78,345
F,VALLE,Estrato 3,72,58,70,67,66,333
M,BOGOTA,Estrato 5,81,86,76,75,80,398
M,VALLE,Estrato 3,62,75,66,68,63,337
M,CUNDINAMARCA,Estrato 4,78,82,73,73,81,384
F,VALLE,Estrato 3,56,50,59,56,64,280
F,VALLE,Estrato 2,62,55,60,56,60,292
F,VALLE,Estrato 3,75,75,65,61,73,347
M,VALLE,Estrato 3,49,45,51,43,42,233
M,BOGOTA,Estrato 5,71,73,70,70,80,358
F,BOGOTA,Estrato 6,78,69,68,66,88,358
M,BOGOTA,Estrato 6,68,72,73,67,83,355
F,VALLE,Estrato 3,48,49,49,48,67,250
M,CAUCA,Estrato 3,75,71,73,69,100,371
M,CAUCA,Estrato 4,68,55,57,66,61,307
M,NARIÑO,Estrato 3,56,66,63,65,67,314
M,VALLE,Estrato 3,69,75,69,61,74,345
F,BOGOTA,Estrato 5,59,48,62,57,83,293
M,VALLE,Estrato 3,52,67,68,58,63,307
M,BOLIVAR,Estrato 6,73,100,100,73,93,435
F,VALLE,Estrato 3,64,66,61,61,69,317
M,VALLE,Estrato 6,32,32,35,42,52,183
F,ATLANTICO,Estrato 4,72,65,69,62,80,340
F,VALLE,Estrato 5,73,70,73,68,100,366
M,BOGOTA,Estrato 4,51,45,50,44,70,246
F,VALLE,Estrato 3,82,75,82,77,88,398
F,VALLE,Estrato 3,57,56,58,51,63,280
M,CAUCA,Estrato 5,47,47,52,44,43,236
M,VALLE,Estrato 3,60,68,58,59,47,301
F,BOGOTA,Estrato 6,73,70,73,72,87,366
M,SANTANDER,Estrato 4,75,78,69,72,89,373
M,VALLE,Estrato 3,80,74,77,80,75,388
F,MAGDALENA,Estrato 6,60,59,60,52,82,298
M,VALLE,Estrato 4,57,67,56,54,70,297
M,BOLIVAR,Estrato 6,64,68,75,60,76,337
M,VALLE,Estrato 5,61,55,61,62,50,295
F,BOGOTA,Estrato 4,64,81,62,57,86,338
F,VALLE,Estrato 5,67,55,53,54,69,291
F,RISARALDA,Estrato 6,75,81,78,84,89,401
F,BOGOTA,Estrato 6,68,72,81,77,95,380
M,BOGOTA,Estrato 5,70,76,73,75,77,369
M,VALLE,Estrato 5,63,57,61,61,62,303
M,BOGOTA,Estrato 5,75,75,77,79,77,383
F,BOGOTA,Estrato 4,63,78,73,70,85,360
F,VALLE,Estrato 2,66,49,65,64,61,305
F,VALLE,Estrato 3,45,38,43,54,41,223
F,BOGOTA,Estrato 4,54,63,61,58,78,302
F,NARIÑO,Estrato 2,56,64,56,54,47,283
F,VALLE,Estrato 4,52,45,42,35,41,217
F,BOGOTA,Estrato 6,49,54,49,52,68,262
M,BOGOTA,Estrato 6,59,76,67,78,74,352
F,ATLANTICO,Estrato 5,57,50,50,61,49,270
F,ATLANTICO,Estrato 6,49,54,49,49,77,262
F,CALDAS,Estrato 6,69,64,69,68,73,340
M,VALLE,-,67,61,76,65,89,345
F,VALLE,Estrato 3,62,56,66,67,90,324
M,VALLE,Estrato 5,71,78,68,73,73,363
F,NARIÑO,Estrato 4,62,64,64,55,74,311
M,CAUCA,Estrato 6,67,71,70,66,62,340
F,VALLE,Estrato 3,62,68,61,61,71,318
F,VALLE,Estrato 3,49,48,46,41,34,225
M,BOGOTA,Estrato 6,67,72,62,72,85,348
M,BOGOTA,Estrato 4,73,72,76,78,96,382
M,VALLE,Estrato 3,62,57,64,60,71,308
M,VALLE,Estrato 3,49,56,53,48,57,260
M,VALLE,Estrato 5,59,61,68,67,83,326
F,VALLE,Estrato 6,70,83,69,73,92,376
F,ATLANTICO,Estrato 6,62,62,58,52,88,304
M,VALLE,Estrato 3,49,36,42,42,46,213
F,BOGOTA,Estrato 5,54,62,62,65,79,311
M,VALLE,Estrato 3,56,52,56,55,55,274
M,VALLE,Estrato 2,64,57,61,70,66,316
M,VALLE,Estrato 2,47,44,49,42,44,227
M,ATLANTICO,Estrato 6,54,51,56,39,86,264
F,VALLE,Estrato 2,55,53,57,49,52,267
F,BOGOTA,Estrato 6,44,45,43,46,52,225
F,VALLE,Estrato 2,50,37,47,47,46,227
F,CAUCA,Estrato 3,54,47,51,47,47,248
M,VALLE,Estrato 1,68,67,68,69,91,349
F,VALLE,Estrato 5,62,60,59,58,69,302
M,VALLE,Estrato 2,65,65,61,59,59,311
M,CALDAS,Estrato 6,61,50,56,58,62,283
F,BOLIVAR,Estrato 5,73,72,76,67,95,369
M,CALDAS,Estrato 6,67,70,64,76,71,347
F,CAUCA,Estrato 4,77,61,69,78,83,361
F,VALLE,Estrato 3,70,66,68,63,64,333
F,VALLE,Estrato 3,53,50,53,46,49,252
F,VALLE,Estrato 3,69,56,62,64,86,323
M,BOGOTA,Estrato 3,51,55,50,42,67,254
F,VALLE,Estrato 4,63,70,61,59,69,318
F,VALLE,Estrato 2,67,71,74,64,68,345
M,BOGOTA,Estrato 4,57,51,57,63,72,291
F,VALLE,Estrato 6,75,75,80,70,83,378
M,CAUCA,Estrato 4,68,84,81,77,74,386
F,BOGOTA,Estrato 5,74,80,72,70,87,375
F,VALLE,Estrato 3,46,44,50,44,53,233
M,NARIÑO,Estrato 6,70,62,66,72,72,339
F,CUNDINAMARCA,Estrato 4,68,78,66,65,80,350
M,BOGOTA,Estrato 5,55,64,62,60,66,303
F,CUNDINAMARCA,Estrato 6,58,49,52,47,76,267
M,CAUCA,Estrato 3,71,56,68,71,70,334
M,VALLE,Estrato 4,54,51,49,50,55,257
M,BOGOTA,-,77,76,76,79,97,393
M,CAUCA,Estrato 4,60,54,53,58,47,278
F,VALLE,Estrato 4,56,60,62,63,72,306
M,NARIÑO,Estrato 3,73,70,64,71,74,349
M,VALLE,Estrato 2,44,39,46,51,39,223
M,VALLE,Estrato 4,63,71,60,61,61,318
F,VALLE,Estrato 5,65,57,63,71,72,323
F,BOGOTA,Estrato 6,52,59,56,59,77,290
M,VALLE,Estrato 4,61,38,55,52,70,265
M,BOGOTA,Estrato 6,78,67,77,82,87,384
F,VALLE,Estrato 3,71,69,69,65,66,342
F,CAUCA,Estrato 3,61,53,56,56,56,282
F,VALLE,Estrato 1,45,52,55,57,61,265
M,VALLE,Estrato 5,63,75,64,67,55,332
F,VALLE,Estrato 3,53,64,57,53,51,282
F,VALLE,Estrato 4,61,58,58,56,49,288
F,CALDAS,Estrato 3,69,70,65,63,100,347
M,VALLE,Estrato 6,72,72,82,74,77,376
F,BOGOTA,Estrato 6,61,80,70,65,80,349
F,BOGOTA,Estrato 4,66,72,72,72,84,358
M,VALLE,Estrato 4,64,66,69,63,85,335
M,VALLE,Estrato 3,73,80,71,79,86,383
M,VALLE,Estrato 4,61,65,64,66,57,317
M,VALLE,Estrato 3,62,69,74,71,59,341
F,VALLE,Estrato 3,58,60,56,68,75,308
F,VALLE,Estrato 3,75,62,60,69,72,335
M,CAUCA,Estrato 1,53,53,55,48,51,261
M,VALLE,Estrato 2,53,39,49,54,63,249
F,VALLE,-,59,50,53,53,63,272
M,VALLE,Estrato 4,60,47,53,46,48,256
M,BOGOTA,Estrato 5,60,59,57,54,71,293
M,VALLE,Estrato 3,53,63,62,47,71,287
M,VALLE,Estrato 3,60,64,56,81,60,324
F,BOGOTA,Estrato 6,60,72,61,71,81,336
M,BOGOTA,Estrato 5,74,70,77,73,84,372
M,NARIÑO,Estrato 2,49,46,53,53,41,248
M,VALLE,Estrato 3,71,63,67,70,81,344
M,VALLE,Estrato 5,79,79,82,78,80,398
F,VALLE,Estrato 5,74,78,72,78,88,382
M,SANTANDER,Estrato 5,76,77,70,66,80,364
M,BOGOTA,Estrato 6,74,74,82,67,88,377
M,VALLE,Estrato 6,74,81,71,69,77,370
M,CAUCA,Estrato 1,52,56,63,62,67,295
F,VALLE,Estrato 2,49,34,41,48,33,211
M,VALLE,Estrato 3,62,44,60,64,63,290
F,VALLE,Estrato 3,64,56,59,52,79,297
F,BOGOTA,Estrato 5,66,73,76,81,86,375
F,VALLE,Estrato 3,53,60,58,60,68,293
M,BOGOTA,Estrato 5,66,65,74,76,81,355
M,BOGOTA,Estrato 4,65,63,68,68,66,330
F,VALLE,Estrato 3,71,58,61,67,68,323
M,CUNDINAMARCA,Estrato 4,66,74,73,65,77,350
F,VALLE,Estrato 2,38,40,53,36,35,206
M,ATLANTICO,Estrato 3,39,40,41,41,49,205
M,VALLE,Estrato 3,65,64,70,67,73,335
F,VALLE,Estrato 3,39,48,50,47,36,226
M,RISARALDA,Estrato 6,62,73,64,61,78,330
M,VALLE,Estrato 5,76,73,78,77,81,382
F,BOGOTA,Estrato 5,75,81,79,72,100,393
M,VALLE,Estrato 3,60,60,62,61,71,308
F,BOGOTA,Estrato 4,74,80,74,68,95,378
M,ATLANTICO,Estrato 4,56,60,54,57,48,280
M,VALLE,Estrato 5,59,54,63,63,43,292
M,VALLE,Estrato 3,62,63,63,63,56,311
F,VALLE,Estrato 3,46,43,46,45,53,228
F,BOGOTA,Estrato 4,67,71,65,74,82,351
M,ATLANTICO,Estrato 4,62,57,57,59,70,298
M,CAUCA,-,66,73,74,72,69,355
M,VALLE,Estrato 3,40,35,43,46,43,206
M,ATLANTICO,Estrato 5,63,67,73,64,87,342
F,VALLE,Estrato 5,59,52,54,64,70,291
M,BOGOTA,Estrato 6,78,73,68,64,80,357
F,BOGOTA,Estrato 6,68,70,78,63,85,355
F,VALLE,Estrato 2,61,71,64,63,64,323
F,VALLE,Estrato 3,50,48,55,47,43,247
F,VALLE,Estrato 4,48,45,47,44,61,236
F,ANTIOQUIA,Estrato 6,67,58,63,66,88,327
F,VALLE,-,49,39,40,39,30,204
F,BOGOTA,Estrato 4,69,81,72,75,92,378
F,ANTIOQUIA,Estrato 5,73,64,57,71,75,335
F,VALLE,Estrato 6,54,54,51,44,63,258
M,VALLE,Estrato 4,64,60,62,64,68,315
M,VALLE,Estrato 5,61,58,65,63,64,310
F,BOGOTA,Estrato 5,56,52,52,56,74,278
F,VALLE,Estrato 3,62,51,45,62,41,270
M,BOGOTA,Estrato 4,66,73,69,77,78,359
F,VALLE,Estrato 2,75,70,77,69,100,374
M,VALLE,Estrato 4,62,54,58,61,70,298
M,VALLE,Estrato 5,41,41,46,43,49,216
M,VALLE,Estrato 5,40,45,43,52,50,227
F,BOGOTA,Estrato 6,63,70,67,66,85,340
M,BOGOTA,Estrato 5,67,64,58,70,69,325
M,CUNDINAMARCA,Estrato 3,63,64,66,55,72,314
F,VALLE,Estrato 5,62,64,61,68,82,326
F,CAUCA,Estrato 2,64,49,56,55,47,277
F,BOGOTA,Estrato 4,64,66,66,71,94,344
M,RISARALDA,Estrato 4,69,79,71,72,80,367
F,VALLE,Estrato 5,58,65,64,60,74,313
F,VALLE,Estrato 3,52,56,60,54,51,276
F,VALLE,Estrato 3,58,57,58,53,55,282
F,VALLE,Estrato 4,67,65,63,58,65,317
M,BOGOTA,Estrato 6,59,69,72,67,73,336
F,VALLE,Estrato 3,55,38,54,40,36,230
M,VALLE,Estrato 4,67,73,63,69,83,346
M,BOGOTA,Estrato 6,60,65,68,49,80,310
F,VALLE,Estrato 4,77,77,80,76,75,387
F,ANTIOQUIA,Estrato 5,51,57,47,52,81,270
F,BOGOTA,Estrato 6,67,66,65,64,95,339
M,CAUCA,Estrato 2,73,86,79,82,88,403
F,VALLE,Estrato 3,58,57,59,57,48,285
M,BOGOTA,Estrato 4,80,68,70,77,85,373
F,BOGOTA,Estrato 5,83,81,79,77,97,407
F,VALLE,Estrato 4,71,69,69,67,91,353
F,VALLE,Estrato 3,54,42,37,51,35,226
F,VALLE,-,67,64,64,64,66,324
M,VALLE,Estrato 4,62,53,56,63,63,294
M,VALLE,Estrato 6,59,69,62,77,78,338
M,VALLE,Estrato 3,60,50,48,55,40,261
F,VALLE,Estrato 3,61,50,62,63,65,297
M,VALLE,Estrato 6,70,77,83,78,91,390
M,BOGOTA,Estrato 5,63,75,74,71,72,354
M,VALLE,Estrato 3,76,72,77,61,72,358
F,ATLANTICO,Estrato 6,60,54,62,63,90,310
F,VALLE,Estrato 3,59,47,53,56,68,274
