estu_genero,estu_depto_reside,fami_estratovivienda,punt_lectura_critica,punt_matematicas,punt_c_naturales,punt_sociales_ciudadanas,punt_ingles,punt_global
F,BOGOTA,Estrato 5,58,66,67,57,76,315
F,BOGOTA,Estrato 6,52,58,58,52,88,288
M,VALLE,Estrato 5,55,46,44,55,58,253
F,BOGOTA,Estrato 4,68,59,62,56,91,318
F,NARIÑO,Estrato 3,65,63,57,56,59,301
F,BOGOTA,Estrato 5,65,75,70,78,84,365
F,BOGOTA,Estrato 5,51,51,59,54,69,275
F,VALLE,-,67,67,65,69,69,336
F,ANTIOQUIA,Estrato 6,56,59,48,48,73,272
M,CESAR,Estrato 6,78,81,79,81,84,400
F,BOGOTA,Estrato 6,74,77,72,73,97,379
M,VALLE,Estrato 3,57,55,56,58,28,272
M,VALLE,Estrato 6,68,65,65,64,74,331
F,CALDAS,Estrato 6,70,64,67,71,84,346
F,NARIÑO,Estrato 4,72,62,73,78,76,358
F,BOGOTA,Estrato 4,62,61,59,61,67,306
F,VALLE,Estrato 4,50,64,61,51,68,287
F,VALLE,Estrato 1,64,60,59,60,62,304
F,VALLE,Estrato 4,67,59,55,61,57,301
F,BOGOTA,Estrato 6,67,72,69,70,88,355
F,VALLE,Estrato 3,53,52,59,55,53,273
M,BOGOTA,Estrato 5,61,69,65,50,86,316
F,VALLE,Estrato 4,69,60,66,67,75,331
M,NARIÑO,Estrato 4,70,57,70,69,78,337
M,CAUCA,Estrato 2,65,73,71,70,78,352
M,BOGOTA,Estrato 4,57,60,48,53,76,281
F,VALLE,Estrato 3,55,47,54,56,38,259
M,ATLANTICO,Estrato 4,74,81,80,78,91,396
M,VALLE,Estrato 5,67,60,68,66,64,326
M,CAUCA,Estrato 5,50,49,44,35,43,222
M,VALLE,Estrato 2,70,72,72,62,64,343
M,BOGOTA,Estrato 6,82,87,79,80,100,417
F,VALLE,Estrato 6,68,68,67,67,81,343
M,BOLIVAR,Estrato 5,58,69,60,53,82,308
M,VALLE,Estrato 3,63,66,68,65,72,330
F,ATLANTICO,Estrato 4,60,68,78,73,72,350
M,VALLE,Estrato 4,54,60,63,63,57,299
M,BOGOTA,Estrato 6,75,81,100,80,95,424
F,VALLE,Estrato 5,66,69,63,61,86,332
M,BOGOTA,Estrato 6,62,67,64,80,81,346
F,VALLE,Estrato 3,62,71,66,68,67,334
M,VALLE,Estrato 5,52,60,57,60,51,284
M,BOGOTA,Estrato 5,66,65,74,68,90,350
M,BOGOTA,Estrato 5,67,81,72,70,82,366
M,CAUCA,Estrato 3,55,64,65,52,50,292
M,VALLE,Estrato 3,57,55,54,47,58,268
F,ANTIOQUIA,Estrato 6,63,59,58,63,75,309
M,BOGOTA,Estrato 5,66,72,65,84,86,364
F,VALLE,Estrato 2,80,66,76,70,82,368
M,VALLE,Estrato 4,62,68,70,72,56,335
M,VALLE,Estrato 5,66,54,60,66,62,308
F,BOGOTA,Estrato 4,82,65,72,62,87,358
M,SANTANDER,Estrato 6,77,78,83,79,92,401
F,BOGOTA,Estrato 6,72,82,75,70,100,383
M,VALLE,Estrato 3,55,45,51,55,61,261
F,VALLE,Estrato 6,42,31,39,33,58,190
F,VALLE,Estrato 4,48,45,47,39,48,225
F,VALLE,Estrato 3,57,68,67,58,55,310
F,VALLE,Estrato 3,63,55,59,72,68,313
F,VALLE,Estrato 2,57,52,57,49,57,270
M,BOGOTA,Estrato 6,63,75,71,70,85,355
M,VALLE,Estrato 5,62,57,53,54,73,289
M,BOGOTA,Estrato 6,76,83,82,73,79,393
F,VALLE,-,62,48,54,58,49,275
M,CUNDINAMARCA,Estrato 4,66,66,61,50,70,307
M,BOGOTA,Estrato 6,60,74,64,56,83,325
M,ATLANTICO,Estrato 4,65,70,67,62,68,331
F,BOGOTA,Estrato 5,65,74,77,76,89,371
M,VALLE,Estrato 3,56,59,56,54,53,280
F,VALLE,Estrato 3,48,41,48,42,33,219
F,VALLE,Estrato 3,73,100,79,73,91,410
M,BOGOTA,Estrato 6,72,87,75,82,97,402
M,VALLE,Estrato 1,69,69,71,72,84,357
F,BOGOTA,Estrato 5,75,77,72,71,92,376
F,VALLE,Estrato 5,58,47,54,48,59,262
F,BOGOTA,Estrato 4,78,81,79,69,81,385
F,VALLE,Estrato 3,39,42,45,32,45,200
M,VALLE,Estrato 3,59,54,54,51,52,272
M,VALLE,Estrato 3,66,68,68,60,61,326
F,VALLE,Estrato 3,54,55,58,60,75,291
F,BOGOTA,Estrato 4,61,58,67,69,85,327
F,BOGOTA,Estrato 4,69,65,67,63,73,333
M,VALLE,Estrato 6,65,61,67,62,75,323
F,CAUCA,Estrato 3,48,49,46,42,60,237
F,BOGOTA,Estrato 5,76,75,77,76,95,387
M,VALLE,Estrato 3,62,65,68,66,65,326
M,BOGOTA,Estrato 6,73,58,62,79,86,347
F,VALLE,Estrato 3,51,46,54,50,64,257
M,VALLE,Estrato 3,54,61,56,55,58,283
M,BOGOTA,Estrato 5,65,73,72,78,90,367
M,VALLE,Estrato 5,80,79,73,71,71,377
M,BOGOTA,Estrato 4,61,74,68,72,80,348
F,BOGOTA,Estrato 5,66,62,64,65,72,324
M,VALLE,Estrato 6,45,44,49,47,64,238
M,BOLIVAR,Estrato 5,57,62,47,53,81,284
F,BOGOTA,Estrato 4,75,88,73,68,100,389
M,VALLE,-,64,69,69,62,92,340
F,VALLE,Estrato 4,44,42,50,46,53,230
M,CESAR,Estrato 5,65,83,100,70,79,397
F,VALLE,Estrato 4,70,64,69,70,76,344
M,VALLE,Estrato 5,67,60,28,71,69,287
F,ANTIOQUIA,Estrato 4,74,77,72,79,82,380
F,CAUCA,Estrato 3,70,67,79,65,70,351
M,VALLE,Estrato 3,54,58,50,49,60,267
F,VALLE,Estrato 3,49,48,50,49,56,248
F,BOLIVAR,Estrato 6,72,69,66,73,85,356
F,VALLE,Estrato 5,74,66,61,64,57,328
F,VALLE,Estrato 3,56,55,57,54,60,279
M,BOGOTA,Estrato 4,74,75,76,75,84,378
F,CAUCA,Estrato 4,62,67,66,64,62,323
M,VALLE,Estrato 3,50,46,59,49,85,268
F,VALLE,Estrato 6,72,67,74,73,81,361
M,VALLE,Estrato 3,56,53,51,57,60,273
F,VALLE,Estrato 3,60,52,53,50,59,271
F,BOGOTA,Estrato 4,53,68,59,56,86,305
M,VALLE,Estrato 5,70,63,60,56,71,315
F,BOGOTA,Estrato 4,64,65,67,67,82,335
F,ATLANTICO,Estrato 4,66,63,59,54,70,306
M,BOGOTA,Estrato 5,70,70,71,72,85,359
M,VALLE,Estrato 5,52,56,62,55,50,279
M,ATLANTICO,Estrato 6,70,69,68,65,84,346
M,VALLE,Estrato 4,67,69,63,66,73,334
F,BOGOTA,Estrato 6,71,77,74,77,85,378
F,VALLE,Estrato 3,65,63,69,62,61,322
F,VALLE,Estrato 2,61,51,56,56,55,280
F,VALLE,Estrato 6,63,66,67,57,71,319
M,VALLE,Estrato 3,63,53,62,59,54,294
F,ANTIOQUIA,Estrato 6,79,81,78,67,91,387
M,VALLE,Estrato 3,52,57,70,57,64,297
M,BOGOTA,Estrato 6,65,64,66,73,76,338
F,VALLE,Estrato 3,61,58,62,48,68,290
F,BOGOTA,Estrato 4,69,78,100,74,93,406
F,NARIÑO,Estrato 3,63,70,62,51,73,312
F,BOGOTA,Estrato 4,63,64,60,68,75,323
F,ANTIOQUIA,Estrato 6,61,73,69,63,82,338
M,VALLE,Estrato 6,62,66,63,60,84,322
M,CAUCA,Estrato 2,49,59,51,55,49,266
F,VALLE,Estrato 3,41,35,46,40,56,208
F,VALLE,Estrato 4,78,68,67,69,80,356
M,QUINDIO,Estrato 5,78,73,68,72,83,368
F,VALLE,Estrato 5,73,74,69,71,89,365
F,CALDAS,Estrato 4,58,64,61,73,80,326
F,VALLE,Estrato 3,58,68,64,57,62,309
F,BOGOTA,Estrato 6,77,82,76,78,87,395
M,VALLE,Estrato 3,68,67,64,64,66,329
F,VALLE,Estrato 2,80,73,74,72,87,378
F,BOGOTA,Estrato 5,75,74,72,63,85,360
F,ATLANTICO,Estrato 6,65,64,65,68,95,339
F,VALLE,Estrato 2,64,49,71,67,58,312
M,VALLE,Estrato 2,72,64,74,69,69,348
F,ANTIOQUIA,Estrato 5,63,59,53,48,76,287
F,BOGOTA,Estrato 5,65,55,56,63,79,306
F,VALLE,Estrato 2,59,59,61,51,60,288
M,VALLE,Estrato 3,61,51,52,41,27,247
M,VALLE,Estrato 2,56,52,56,50,55,268
F,BOGOTA,Estrato 5,63,65,68,69,82,337
F,CALDAS,Estrato 6,73,88,77,76,93,398
F,VALLE,Estrato 3,60,52,50,50,72,272
F,VALLE,Estrato 5,63,72,72,63,80,342
M,BOGOTA,Estrato 6,73,67,74,78,79,367
M,VALLE,Estrato 6,62,62,66,72,84,335
M,VALLE,Estrato 3,75,66,60,57,53,318
M,ATLANTICO,Estrato 6,53,65,62,56,81,303
M,BOGOTA,Estrato 5,64,75,75,61,76,347
F,VALLE,Estrato 2,50,54,48,36,41,233
M,VALLE,Estrato 4,52,50,57,49,59,263
M,VALLE,Estrato 3,53,46,48,53,44,248
M,ANTIOQUIA,Estrato 6,73,71,66,67,79,350
M,ANTIOQUIA,Estrato 6,69,64,65,65,93,339
M,VALLE,Estrato 6,75,77,79,79,83,390
M,BOGOTA,Estrato 4,53,62,65,56,85,305
